name,department,title_1,title_2,title_3,title_4,title_5,website,biography,headshot,faculty_page,areas_of_expertise_1,areas_of_expertise_2,areas_of_expertise_3,areas_of_expertise_4,areas_of_expertise_5,areas_of_expertise_6,areas_of_expertise_7,areas_of_expertise_8,areas_of_expertise_9,areas_of_expertise_10,areas_of_expertise_11,areas_of_expertise_12,areas_of_expertise_13,areas_of_expertise_14,areas_of_expertise_15,areas_of_expertise_16,areas_of_expertise_17
Joshua Teplitsky,History,Assistant Professor,History,College of Arts and Sciences,,,,"Joshua Teplitsky's work focuses on ​ Jewish history in the German-speaking lands of the Holy Roman Empire and Habsburg monarchy in the early modern period (16th–18th centuries) with an emphasis on the city of Prague. Additionally, he studies the relationship between Jews and their surrounding societies -- as well as the social, cultural, and intellectual exchanges between Jews and Christians. Joshua is also an expert in ​the study of books, printing, and media, and digital humanities.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/IMG_75311.jpg,https://www.stonybrook.edu/experts/profile/joshua-teplitsky,Jewish History,Books,Printing,Media,Digital Humanities,,,,,,,,,,,,
David Thanassi,Department of Molecular Genetics and Microbiology,Professor and Interim Chair,Department of Molecular Genetics and Microbiology,School of Medicine,,,,"David Thanassi’s research focuses on understanding strategies used by bacteria to cause disease.  He has a particular interest in bacterial virulence factors, understanding how these virulence factors are secreted by the bacteria and how they function to allow bacteria to cause disease. His lab is also interested in exploiting the understanding of bacterial virulence factors to develop novel alternatives to antibiotics.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ThanassiDavid11.jpg,https://www.stonybrook.edu/experts/profile/Thanassi-David,bacterial pathogenesis,bacterial virulence mechanisms,antibiotic resistance and therapeutic development,bacterium,bacteria,,,,,,,,,,,,
Benjamin Tausig,Department of Music,Assistant Professor,Department of Music,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/music/aboutus/faculty/Tausig_Benjamin.html,"Benjamin Tausig is an expert on the topic of how political upheaval shapes musicians, their music and performance art.  Thailand’s  2010-11 “Red Shirt” movement is his special interest.  He has written about  the lives and music of Thai protest musicians and how they were  affected by the Thai military’s psychological operations unit.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/BenTausig1.jpg,https://www.stonybrook.edu/experts/profile/bejamin-tausig,Thailand,Protest,Sound Studies,Music and Poiitics,,,,,,,,,,,,,
Apostolos Tassiopoulos,Surgery,"Vascular Surgeon, Chief of the Division of Vascular and Endovascular Surgery, Program Director of the Vascular Surgery Residency and the Surgical Skills Simulation Center, Co-Director of the Aortic Center",Surgery,School of Medicine,,,http://medicine.stonybrookmedicine.edu/surgery/people/faculty/dr-apostolos-k-tassiopoulos,"Dr. Apostolos Tassiopoulos has expertise in minimally invasive (endovascular) management of abdominal and thoracic aortic aneurysms, aortic dissections, vascular trauma, lower extremity vascular disease (PAD), treatment of venous disease (including minimally invasive percutaneous closure for varicose veins), treatment and prevention of deep-vein-thrombosis, inferior vena cava filters, thrombolysis, renal and mesenteric artery stenosis, surgery for stroke prevention (carotid stenting and endarterectomy), dialysis access procedures, and limb-salvaging procedures. He also has experience with surgical quality improvement programs and with improving safety of surgical patients.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/TassiopoulosApostolos.jpg,https://www.stonybrook.edu/experts/profile/apostolos-tassiopoulos,vascular disease,vascular trauma,bypass surgery,aortic aneurysm,angioplasty,stents,stent graft,endograft,vascular trauma,bypass surgery,carotid surgery,,,,,,
Henry J. Tannous,Division of Cardiothoracic Surgery,Clinical Associate Professor,Division of Cardiothoracic Surgery,School of Medicine,,,http://www.stonybrookmedicine.edu/patientcare/surgery/patient-care/clinical/cardiac-surgery/physicians-staff/henry-tannous,"Henry J. Tannous has established an advanced clinical practice in adult cardiac surgery, as well as a focused interest in the most effective and advanced techniques for minimally invasive surgery for certain lung cancers,  and  transcatheter aortic valve replacement (TAVR). He also concentrates on the latest surgical methods to correct atrial fibrillation and other arrhythmias.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Tannous-Henry_2016.jpg,https://www.stonybrook.edu/experts/profile/henry-tannous,cardiac disease,cardiac surgery,cardiothoracic,heart surgery,lung cancer,valvular heart disease,TAVR,,,,,,,,,,
Allen R. Tannenbaum,Computer Science and Applied Mathematics & Statistics,Distinguished Professor,Computer Science and Applied Mathematics & Statistics,College of Engineering and Applied Sciences,,,http://www.cs.stonybrook.edu/people/faculty/AllenTannenbaum,"Allen Tannenbaum’s fields of interest include cancer research, medical imaging, computational computer vision, image processing, robust control, mathematical systems theory, bioinformatics, semiconductor fabrication processes, and robotics. His work in computer vision has earned him numerous awards, and he holds four patents in medical imaging and computer vision Recently, he has developed mathematical formulas to understand and quantify the ability of cancer cells to adapt and develop resistance to assist in the treatment of cancer.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/TannenbaumAllen.jpg,https://www.stonybrook.edu/experts/profile/allen-tannenbaum,cancer research,medical imaging,computational computer vision,image processing,robotics,,,,,,,,,,,,
Mark Talamini,Surgery,"Professor and Chairman of Surgery, Chief of Surgical services, Founding Director of Medical Innovation Institute, President of Stony Brook Surgical Associates, Co-Director of SOAR Collaborative",Surgery,School of Medicine,,,,"Mark Talamini is recognized for his expertise in advanced laparoscopic surgery. He specializes in gastrointestinal surgery, with an emphasis on the treatment of inflammatory bowel disease (Crohn’s disease, ulcerative colitis). He is considered a pioneer in minimally invasive abdominal surgery, and is recognized as one of the leading authorities on laparoscopic and robotic-assisted surgery in the United States.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/TalaminiMark.jpg,https://www.stonybrook.edu/experts/profile/mark-talamini,colon cancer,gerd,crohn's disease,esophagus surgery,hernia repair,inflammatory bowel disease,minimally invasive surgery,robotic surgery,stomach cancer,ulcerative colitis,general surgery,,,,,,
Wendy K. Tang,Electrical and Computer Engineering,Associate Professor and Associate Chair,Electrical and Computer Engineering,College of Engineering and Applied Sciences,,,https://www.stonybrook.edu/commcms/electrical-new/people/tang_wendy/index2.html,"Wendy Tang’s current research interests are in wireless sensor networks, communication networks, and graph theory applications, with a specific interest in the development of efficient routing protocols for large and dense wireless sensor networks. As Associate Provost for Online Learning at Stony Brook, she is an expert in online educational development, and developed the online Bachelor of Science Program in Electrical Engineering, which has been recognized as one of the best in the nation.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/wtang.jpg,https://www.stonybrook.edu/experts/profile/wendy-tang,online learning,online degree,engineering education,wireless sensor networks,communication networks,,,,,,,,,,,,
Katarina Supe-Markovina,Pediatric Nephrology,"Pediatric Nephrologist, Assistant Professor of Clinical Pediatrics, Director of Pediatric Hypertension Center",Pediatric Nephrology,School of Medicine,,,,"Dr. Katarina Supe-Markovina has a special interest in pediatric hypertension, in particular 24-hour ambulatory blood pressure monitoring, as well as congenital anomalies of the kidney and urinary tract.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SupeMarkovinaKatarina.jpg,https://www.stonybrook.edu/experts/profile/katarina-supe-markovina,kidney diseases,pediatric obesity,acute kidney injury,nephrotic syndrome,,,,,,,,,,,,,
Larry Swanson,School of Marine and Atmospheric Sciences,Associate Dean,School of Marine and Atmospheric Sciences,,,,http://www.somas.stonybrook.edu/people/swanson.html,"Larry Swanson has worked primarily with marine pollution issues in the coastal ocean, and contributes to environmental policy debates concerning ocean dumping, marine debris, and sewage discharge criteria, among others. His broad research interests include understanding and identifying the appropriate use of the ocean as part of a comprehensive waste management strategy. He also views the development of materials made from post-consumer waste into new products as a promising and growing means of reusing waste material.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Swanson.jpg,https://www.stonybrook.edu/experts/profile/larry-swanson,marine pollution,marine policy,recycling and reuse of waste materials,waste management,,,,,,,,,,,,,
Kathleen Stergiopoulos,Medicine,"Cardiologist and Associate Professor of Medicine, Co-Director of the Woman's Heart Program",Medicine,School of Medicine,,,,"Kathleen Stergiopoulos has a strong interest in patient care for all forms of cardiovascular disease, including pregnancy and heart disease, women's cardiac issues, including primary prevention, coronary artery disease, and valvular heart disease. Her research interests include women's cardiac disease, pregnancy and cardiac disease, and use of new echocardiographic technologies. She has published on pregnancy and heart disease, outcomes in patients with stable coronary disease, and echocardiographic techniques.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/StergiopoulosKathleen.jpg,https://www.stonybrook.edu/experts/profile/kathleen-stergiopoulos,coronary artery disease tests,coronary disease,echocardiography,heart failure,pregnancy,hypertension,nuclear cardiology,stress echocardiography,transesophageal,echocardiography,valvular heart disease,,,,,,
Steven Stern,Economics,Professor,Economics,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/economics/people/bios/STERN.html,"Steven Stern is an expert in labor economics, health economics, economics of aging, mental health, long-term care and the family and industrial organization and econometrics. His research involves increasing our understanding of some phenomenon in the real world by using innovative econometric methods. He has recently been cited in the news for his research that can help predict divorce.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Steven_Stern.jpg,https://www.stonybrook.edu/experts/profile/steven-stern,labor economics,health economics,economics of aging,economics of the family,industrial organization,econometrics,divorce predictions,relationships,economics and love,mental health,,,,,,,
Shikaripur N. Sridhar,Asian and Asian American Studies,Distinguished Service Professor,Asian and Asian American Studies,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/asianamerican/facultystaff/ShikaripurSridhar.html,"Shikaripur N. Sridhar is an expert on the languages and cultures of India and South Asia, and has done pioneering research on the structural, sociolinguistic and psycholinguistic aspects of bilingualism and language interaction in individuals and society. Additional areas of his research include the switching and mixing of languages, the acquisition and use of English as a second language in multilingual countries communities, and the nature and functions of new varieties of the language, such as Indian English.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/151210_Sridhar-SN_004.jpg,https://www.stonybrook.edu/experts/profile/shikaripur-sridhar,India studies,South Asian studies,languages,linguistics,literatures of India and South Asia,Kannada and Dravidian languages,translation of Indian literary classics,bilingualism,multilingualism,code switching,Indian English,World Englishes,English around the world,ESL,,,
Mary Squillace,Occupational Therapy Program,Clinical Assistant Professor,Occupational Therapy Program,School of Health Technology and Management,,,http://healthtechnology.stonybrookmedicine.edu/programs/otp/about/faculty/squillace,"Mary Squillace’s areas of clinical expertise include traumatic brain injury, spinal cord injury, neonatal intensive care, and pediatrics with a specialty in early intervention in ages 0 to 3 years of age. She is currently involved involved in research with a team of neurologists that is assessing and investigating primary factors related to the disease of pediatric multiple sclerosis.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/MarySquillace.JPG,https://www.stonybrook.edu/experts/profile/mary-squillace,spinal cord injury,pediatric illnesses,brain injury,spinal cord injury,pediatric multiple sclerosis,,,,,,,,,,,,
